Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:33:08
E(lx),77.18
Candle E(fc),7.17
CCT(K),4226
Duv,0.04760
CIE x,0.4045
CIE y,0.5176
CIE u,0.1926
CIE v,0.3696
CIE u',0.1926
CIE v',0.5544
SDCM,55.32
Ra,71.6
R1,88
R2,73
R3,52
R4,87
R5,83
R6,62
R7,66
R8,62
R9,52
R10,32
R11,82
R12,23
R13,81
R14,71
R15,90
Ee(mW/c©O),0.019
S/P,1.549
Dominant(nm),567.40
Purity(%),76.9
Half width(nm),8.3
Peak(nm),630.3
Center(nm),631.7
Centroid(nm),571.3
R ratio(%),20.3
G ratio(%),79.2
B ratio(%),0.5
CIE1931 X,88.318
CIE1931 Y,112.999
CIE1931 Z,17.016
TLCI-2012,46
Integral Time(ms),740.00
Peak Signal,49812
Dark Signal,2688
Compensate level,2948
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.001524,
431,0.003520,
432,0.006177,
433,0.014264,
434,0.021628,
435,0.034768,
436,0.046820,
437,0.064182,
438,0.086796,
439,0.116727,
440,0.153160,
441,0.197566,
442,0.244972,
443,0.291290,
444,0.335346,
445,0.373545,
446,0.409352,
447,0.432167,
448,0.441981,
449,0.436377,
450,0.418664,
451,0.388216,
452,0.346547,
453,0.306509,
454,0.268646,
455,0.237770,
456,0.213678,
457,0.186288,
458,0.157890,
459,0.133747,
460,0.118560,
461,0.110319,
462,0.101985,
463,0.089274,
464,0.076401,
465,0.063560,
466,0.059204,
467,0.050480,
468,0.044734,
469,0.043470,
470,0.040529,
471,0.037420,
472,0.026236,
473,0.018054,
474,0.014351,
475,0.012928,
476,0.010337,
477,0.006888,
478,0.006964,
479,0.009851,
480,0.015878,
481,0.021485,
482,0.023108,
483,0.027698,
484,0.025189,
485,0.022015,
486,0.020895,
487,0.021019,
488,0.025616,
489,0.030109,
490,0.029558,
491,0.030133,
492,0.036768,
493,0.048095,
494,0.061006,
495,0.073633,
496,0.080912,
497,0.098532,
498,0.112401,
499,0.138885,
500,0.161504,
501,0.189036,
502,0.215103,
503,0.242468,
504,0.278335,
505,0.327468,
506,0.384237,
507,0.439437,
508,0.502536,
509,0.577367,
510,0.654710,
511,0.734911,
512,0.815089,
513,0.892452,
514,0.972070,
515,1.067538,
516,1.160171,
517,1.247783,
518,1.325066,
519,1.392020,
520,1.469571,
521,1.551706,
522,1.641410,
523,1.730715,
524,1.822205,
525,1.906009,
526,1.975099,
527,2.037712,
528,2.091956,
529,2.130328,
530,2.159803,
531,2.175740,
532,2.192393,
533,2.209007,
534,2.222388,
535,2.232402,
536,2.236957,
537,2.235190,
538,2.224038,
539,2.201657,
540,2.168424,
541,2.131582,
542,2.082698,
543,2.032691,
544,1.981911,
545,1.928423,
546,1.875674,
547,1.814130,
548,1.750735,
549,1.692911,
550,1.631221,
551,1.576085,
552,1.512705,
553,1.449268,
554,1.383989,
555,1.315279,
556,1.248341,
557,1.181111,
558,1.117716,
559,1.062150,
560,1.002125,
561,0.938220,
562,0.878627,
563,0.822077,
564,0.770071,
565,0.712498,
566,0.662460,
567,0.613327,
568,0.572099,
569,0.531370,
570,0.489887,
571,0.446258,
572,0.414117,
573,0.377034,
574,0.347141,
575,0.318767,
576,0.295535,
577,0.286186,
578,0.273035,
579,0.260513,
580,0.250305,
581,0.241827,
582,0.246788,
583,0.253300,
584,0.261263,
585,0.269748,
586,0.280428,
587,0.289020,
588,0.289759,
589,0.291416,
590,0.295259,
591,0.298662,
592,0.303819,
593,0.303582,
594,0.300253,
595,0.311227,
596,0.329415,
597,0.346731,
598,0.352680,
599,0.339250,
600,0.323634,
601,0.318217,
602,0.319779,
603,0.330349,
604,0.366794,
605,0.478511,
606,0.690460,
607,0.895016,
608,1.043396,
609,1.144059,
610,1.348511,
611,1.801944,
612,2.246687,
613,2.326032,
614,1.958495,
615,1.385460,
616,0.982785,
617,0.773504,
618,0.709934,
619,0.691892,
620,0.670698,
621,0.654170,
622,0.665732,
623,0.710973,
624,0.780691,
625,0.883337,
626,1.172737,
627,1.878646,
628,3.266567,
629,4.684830,
630,5.429786,
631,5.218228,
632,4.622331,
633,4.232234,
634,3.965370,
635,3.443011,
636,2.551963,
637,1.455109,
638,0.692379,
639,0.375872,
640,0.240260,
641,0.185005,
642,0.170352,
643,0.200148,
644,0.335714,
645,0.560520,
646,0.816273,
647,0.905493,
648,0.790448,
649,0.534081,
650,0.326420,
651,0.231860,
652,0.187819,
653,0.154111,
654,0.125049,
655,0.101620,
656,0.087518,
657,0.082946,
658,0.067102,
659,0.058621,
660,0.048553,
661,0.038852,
662,0.026245,
663,0.013110,
664,0.002187,
665,0.005375,
666,0.010808,
667,0.017782,
668,0.027647,
669,0.028890,
670,0.028214,
671,0.019816,
672,0.008199,
673,0.003874,
674,0.000262,
675,0.000011,
676,0.000011,
677,0.000007,
678,0.000258,
679,0.004145,
680,0.004420,
681,0.006653,
682,0.007925,
683,0.006055,
684,0.005853,
685,0.001446,
686,0.000000,
687,0.000000,
688,0.000000,
689,0.000000,
690,0.000000,
691,0.000418,
692,0.000561,
693,0.000566,
694,0.000428,
695,0.000546,
696,0.001220,
697,0.001228,
698,0.001238,
699,0.000062,
700,0.000000,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000135,
705,0.000136,
706,0.000137,
707,0.000083,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000028,
712,0.000028,
713,0.000028,
714,0.000017,
715,0.000000,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000000,
725,0.000000,
726,0.000000,
727,0.000000,
728,0.000000,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000000,
738,0.000000,
739,0.000000,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.000000,
748,0.000000,
749,0.000000,
750,0.000000,
751,0.000000,
752,0.000000,
753,0.000000,
754,0.000000,
755,0.000000,
756,0.000000,
757,0.000000,
758,0.000000,
759,0.000000,
760,0.000000,
761,0.000000,
762,0.000000,
763,0.000000,
764,0.000000,
765,0.000000,
766,0.000000,
767,0.000000,
768,0.000000,
769,0.000000,
770,0.000000,
771,0.000000,
772,0.000000,
773,0.000000,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
