類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:38:11
照度E(lx),127.77
燭光E(fc),11.87
相關色溫(K),1001
黑體偏離Duv,-0.00076
CIE x,0.6548
CIE y,0.3411
CIE u,0.4528
CIE v,0.3539
CIE u',0.4528
CIE v',0.5308
色容差,100.00
顯色指數Ra,50.0
R1,57
R2,68
R3,87
R4,15
R5,32
R6,8
R7,69
R8,64
R9,28
R10,52
R11,-71
R12,-59
R13,45
R14,78
R15,88
輻照度Ee(mW/c㎡),0.054
明暗視覺比S/P,0.455
主波長(nm),607.80
色純度(%),98.9
半寬度(nm),13.2
峰值波長(nm),630.0
中心波長(nm),628.9
質心波長(nm),619.7
紅色比(%),80.1
綠色比(%),19.8
藍色比(%),0.0
CIE1931 X,359.043
CIE1931 Y,187.070
CIE1931 Z,2.248
TLCI-2012,4
積分時間(ms),140.00
峰值信號,47222
暗信號,2291
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.012179,
449,0.027236,
450,0.027069,
451,0.020511,
452,0.000000,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000000,
485,0.000000,
486,0.000000,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000000,
493,0.000000,
494,0.000000,
495,0.000295,
496,0.002772,
497,0.006347,
498,0.007185,
499,0.009336,
500,0.012299,
501,0.028979,
502,0.048214,
503,0.060465,
504,0.074112,
505,0.086500,
506,0.108942,
507,0.140181,
508,0.172505,
509,0.204760,
510,0.245035,
511,0.289844,
512,0.353525,
513,0.415707,
514,0.479023,
515,0.543156,
516,0.613962,
517,0.699499,
518,0.789006,
519,0.889101,
520,0.989694,
521,1.094619,
522,1.188100,
523,1.267616,
524,1.335217,
525,1.389221,
526,1.431939,
527,1.461705,
528,1.488037,
529,1.492032,
530,1.470681,
531,1.423999,
532,1.357942,
533,1.292088,
534,1.217582,
535,1.136921,
536,1.064631,
537,1.002744,
538,0.934690,
539,0.868614,
540,0.789974,
541,0.735536,
542,0.678839,
543,0.629138,
544,0.585217,
545,0.539767,
546,0.506258,
547,0.472804,
548,0.444411,
549,0.420154,
550,0.388851,
551,0.356517,
552,0.328082,
553,0.301242,
554,0.280478,
555,0.260325,
556,0.241434,
557,0.230012,
558,0.215244,
559,0.194928,
560,0.172510,
561,0.148798,
562,0.134197,
563,0.122975,
564,0.121092,
565,0.121524,
566,0.110789,
567,0.094645,
568,0.076136,
569,0.069623,
570,0.069063,
571,0.073644,
572,0.063529,
573,0.057172,
574,0.048893,
575,0.047918,
576,0.054535,
577,0.054159,
578,0.047511,
579,0.041933,
580,0.039142,
581,0.035814,
582,0.038090,
583,0.047829,
584,0.058578,
585,0.064462,
586,0.065160,
587,0.068789,
588,0.083840,
589,0.099856,
590,0.118615,
591,0.125492,
592,0.138667,
593,0.169071,
594,0.210379,
595,0.265037,
596,0.313829,
597,0.380575,
598,0.465417,
599,0.570257,
600,0.684672,
601,0.819072,
602,0.963867,
603,1.110785,
604,1.300115,
605,1.524493,
606,1.791604,
607,2.092482,
608,2.451923,
609,2.856703,
610,3.263287,
611,3.786164,
612,4.380173,
613,5.082043,
614,5.882034,
615,6.681045,
616,7.671377,
617,8.744628,
618,9.900316,
619,11.093878,
620,12.345530,
621,13.647645,
622,14.910612,
623,16.487860,
624,18.290728,
625,20.421053,
626,22.888222,
627,25.284090,
628,27.900368,
629,29.979973,
630,30.911322,
631,30.399729,
632,28.581402,
633,25.242350,
634,21.150520,
635,16.920132,
636,13.128538,
637,10.361611,
638,7.943982,
639,6.107795,
640,4.724090,
641,3.685290,
642,2.977549,
643,2.335337,
644,1.819394,
645,1.388505,
646,1.064708,
647,0.845855,
648,0.648973,
649,0.492828,
650,0.377605,
651,0.297234,
652,0.251800,
653,0.204752,
654,0.163530,
655,0.137176,
656,0.119613,
657,0.107393,
658,0.094417,
659,0.078726,
660,0.064700,
661,0.048773,
662,0.028210,
663,0.027607,
664,0.028133,
665,0.026108,
666,0.014840,
667,0.002418,
668,0.000000,
669,0.000000,
670,0.000000,
671,0.000229,
672,0.000230,
673,0.000232,
674,0.000093,
675,0.000000,
676,0.000000,
677,0.000000,
678,0.000000,
679,0.000000,
680,0.000000,
681,0.000000,
682,0.000000,
683,0.000000,
684,0.000000,
685,0.000000,
686,0.000000,
687,0.000000,
688,0.000000,
689,0.000000,
690,0.000000,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
698,0.000000,
699,0.000000,
700,0.000000,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000000,
713,0.000000,
714,0.000000,
715,0.000000,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000000,
725,0.000000,
726,0.000000,
727,0.000000,
728,0.000000,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000000,
738,0.000000,
739,0.000000,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.000000,
748,0.000000,
749,0.000000,
750,0.000000,
751,0.000000,
752,0.000000,
753,0.000000,
754,0.000000,
755,0.000000,
756,0.000000,
757,0.000000,
758,0.000000,
759,0.000000,
760,0.000000,
761,0.000000,
762,0.000000,
763,0.000000,
764,0.000000,
765,0.000000,
766,0.000000,
767,0.000000,
768,0.000000,
769,0.000000,
770,0.009153,
771,0.010983,
772,0.010939,
773,0.006233,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
