No,1,2,3,4,5,6,7,8,9,10
558nm,3.577997,0.966512,2.017749,1.310040,0.387924,13.252559,17.798643,12.158952,10.216120,10.610963
559nm,3.380338,0.905953,1.901502,1.228942,0.361592,12.485746,16.784796,11.437912,9.606538,9.971231
560nm,3.164013,0.841628,1.777481,1.145276,0.338938,11.667498,15.677349,10.677222,8.954168,9.306677
561nm,2.957854,0.783901,1.657516,1.065206,0.321963,10.894465,14.667696,9.976975,8.342871,8.683558
562nm,2.784592,0.740152,1.558624,1.002180,0.308895,10.239580,13.817345,9.377143,7.835336,8.155837
563nm,2.592716,0.688092,1.449662,0.928740,0.292261,9.519223,12.884702,8.728839,7.295251,7.599929
564nm,2.412011,0.637594,1.344589,0.855645,0.273291,8.852160,12.017907,8.141265,6.789885,7.074077
565nm,2.239357,0.585086,1.239780,0.786645,0.250290,8.253477,11.225706,7.592363,6.341734,6.602415
566nm,2.078143,0.544553,1.144008,0.728046,0.235232,7.719782,10.466216,7.075652,5.923665,6.150244
567nm,1.938628,0.509532,1.062142,0.679646,0.218732,7.282297,9.846129,6.639234,5.579536,5.785739
568nm,1.794571,0.475317,0.979504,0.632373,0.202769,6.804572,9.162672,6.197908,5.210823,5.383499
569nm,1.660609,0.440568,0.903243,0.583715,0.185478,6.329362,8.523970,5.798004,4.868049,5.016125
570nm,1.558955,0.412034,0.843331,0.546053,0.173812,5.955810,8.010272,5.465945,4.582275,4.708594
571nm,1.459447,0.385424,0.784494,0.510085,0.167837,5.546141,7.470965,5.103301,4.286843,4.395471
572nm,1.365863,0.361923,0.735810,0.478241,0.162680,5.180696,6.981529,4.763192,4.006824,4.109457
573nm,1.271860,0.330660,0.681679,0.441446,0.145868,4.840119,6.510958,4.441964,3.742920,3.844115
574nm,1.182579,0.306904,0.635856,0.413114,0.132074,4.513440,6.081800,4.133757,3.490988,3.579599
575nm,1.107156,0.286777,0.596056,0.386733,0.123075,4.241961,5.701056,3.865947,3.266676,3.358963
576nm,1.028243,0.270904,0.558061,0.364958,0.121933,3.953411,5.308897,3.575567,3.022301,3.120946
577nm,0.952444,0.255026,0.522468,0.341777,0.121060,3.668600,4.931296,3.313067,2.803213,2.900657
578nm,0.890551,0.240473,0.490308,0.317926,0.115034,3.434459,4.619665,3.100053,2.627041,2.737494
579nm,0.830793,0.227501,0.456775,0.297408,0.108524,3.183504,4.294927,2.864225,2.446484,2.556087
580nm,0.779639,0.219929,0.430301,0.282857,0.106304,2.942122,3.991184,2.660555,2.267328,2.396311
581nm,0.730300,0.210864,0.403671,0.269803,0.103109,2.734453,3.703686,2.482464,2.084856,2.222641
582nm,0.679645,0.199353,0.376521,0.255348,0.100845,2.532232,3.425788,2.323061,1.935844,2.034250
583nm,0.636923,0.185309,0.352688,0.240568,0.094206,2.371550,3.204423,2.177004,1.818541,1.875771
584nm,0.590384,0.170210,0.325468,0.226833,0.088157,2.190739,2.972548,2.021499,1.701626,1.722220
585nm,0.545729,0.155896,0.303586,0.213517,0.080427,2.024903,2.768250,1.878079,1.587873,1.596040
586nm,0.507902,0.146944,0.282730,0.202036,0.073061,1.884858,2.588935,1.761844,1.479403,1.501034
587nm,0.470690,0.134267,0.260153,0.183510,0.067184,1.749490,2.397489,1.635864,1.371768,1.402286
588nm,0.440465,0.126091,0.241790,0.171764,0.062666,1.627291,2.231789,1.518116,1.268938,1.297758
589nm,0.411524,0.120216,0.227513,0.159828,0.061672,1.521008,2.075413,1.403267,1.184242,1.205266
590nm,0.378490,0.112508,0.212340,0.144337,0.054841,1.413663,1.941931,1.307032,1.108508,1.110726
591nm,0.356421,0.111492,0.206205,0.136492,0.055450,1.335046,1.823958,1.225253,1.049073,1.026935
592nm,0.328982,0.101909,0.190035,0.120977,0.045445,1.240857,1.691583,1.139222,0.981489,0.945947
593nm,0.309416,0.095983,0.180470,0.114606,0.042542,1.147395,1.562584,1.069419,0.908708,0.871218
594nm,0.289279,0.092282,0.170978,0.109121,0.040164,1.066146,1.447892,1.000257,0.845334,0.821405
595nm,0.264064,0.084827,0.157055,0.101823,0.036104,0.968442,1.318512,0.908939,0.769293,0.749924
596nm,0.246429,0.083950,0.148303,0.099729,0.038099,0.884069,1.198752,0.813485,0.691725,0.690200
597nm,0.228763,0.077930,0.133965,0.092239,0.031503,0.822461,1.120862,0.733737,0.634168,0.629941
598nm,0.221583,0.078752,0.127405,0.090254,0.032032,0.760540,1.040194,0.660580,0.586768,0.579562
599nm,0.211531,0.074637,0.123353,0.085359,0.030964,0.702862,0.966049,0.600580,0.544109,0.540422
600nm,0.202505,0.071816,0.120775,0.085237,0.027988,0.637188,0.883572,0.566330,0.512015,0.492745
601nm,0.206940,0.081674,0.133012,0.096459,0.041988,0.609804,0.829454,0.561304,0.476307,0.452493
602nm,0.203056,0.082849,0.131501,0.097635,0.044420,0.566243,0.796399,0.540024,0.446177,0.422523
603nm,0.193491,0.077169,0.124252,0.089629,0.042927,0.534520,0.750419,0.510304,0.412036,0.388374
604nm,0.173797,0.067684,0.111449,0.076607,0.035883,0.489197,0.692741,0.451695,0.383524,0.359936
605nm,0.150948,0.051786,0.092468,0.062679,0.021124,0.438618,0.621543,0.392629,0.354335,0.318471
606nm,0.143763,0.052923,0.092170,0.065813,0.025764,0.406491,0.557570,0.375849,0.322678,0.284323
607nm,0.141394,0.053299,0.091123,0.068131,0.027097,0.372282,0.501730,0.344049,0.285138,0.251899
608nm,0.140783,0.051833,0.089188,0.065205,0.026855,0.351111,0.464465,0.319360,0.259515,0.229620
609nm,0.134919,0.049652,0.083968,0.057958,0.023246,0.320916,0.429977,0.275732,0.229053,0.213496
610nm,0.125426,0.044996,0.073867,0.048108,0.016713,0.285617,0.386496,0.223342,0.209575,0.180797
611nm,0.122953,0.046851,0.072404,0.050447,0.020995,0.264992,0.340638,0.205562,0.203927,0.162597
612nm,0.117820,0.051251,0.074194,0.053845,0.024585,0.238132,0.287201,0.196699,0.197980,0.144062
613nm,0.112420,0.048851,0.075348,0.053755,0.023803,0.215288,0.248288,0.179225,0.178747,0.120614
614nm,0.103617,0.042606,0.071633,0.049273,0.020149,0.193155,0.228164,0.156442,0.142726,0.090804
615nm,0.092746,0.034330,0.062204,0.040890,0.012332,0.166552,0.205232,0.114828,0.102649,0.054648
616nm,0.091086,0.036001,0.058674,0.040745,0.013343,0.155343,0.195616,0.097346,0.083922,0.044332
617nm,0.089553,0.041833,0.057085,0.043123,0.016490,0.139408,0.171312,0.090921,0.065274,0.054877
618nm,0.090673,0.043783,0.054260,0.044228,0.015301,0.115544,0.153734,0.079746,0.063108,0.058014
619nm,0.086053,0.041221,0.051601,0.042418,0.013501,0.100874,0.136063,0.064457,0.058685,0.043296
620nm,0.075088,0.031839,0.040956,0.032014,0.006441,0.080260,0.098747,0.048029,0.059828,0.020519
621nm,0.068280,0.029270,0.036903,0.028350,0.004972,0.075210,0.079341,0.044138,0.065746,0.006246
622nm,0.063086,0.027316,0.034486,0.028110,0.007059,0.071664,0.058858,0.039129,0.057524,0.002245
623nm,0.061044,0.025121,0.035032,0.029310,0.006885,0.066951,0.041791,0.023665,0.044319,0.002875
624nm,0.060097,0.020528,0.036017,0.029809,0.008358,0.059787,0.026658,0.007929,0.028194,0.004583
625nm,0.061091,0.020551,0.038425,0.029223,0.009136,0.051584,0.012502,0.010305,0.013513,0.005558
626nm,0.055449,0.016743,0.033735,0.022910,0.006406,0.035019,0.001038,0.011590,0.005686,0.003350
627nm,0.057946,0.023586,0.035458,0.027624,0.009215,0.029175,0.000583,0.011788,0.002534,0.002960
628nm,0.050447,0.022193,0.028981,0.023391,0.006282,0.014172,0.000113,0.005854,0.000556,0.000775
629nm,0.049865,0.020993,0.026814,0.022407,0.006435,0.011046,0.000000,0.003492,0.000000,0.000241
630nm,0.046115,0.015034,0.025059,0.019756,0.004865,0.002937,0.000000,0.002444,0.000000,0.000061
631nm,0.045440,0.010469,0.025360,0.016687,0.003121,0.000079,0.000000,0.002127,0.000000,0.000000
632nm,0.038621,0.006080,0.023974,0.014878,0.001469,0.000000,0.000000,0.000047,0.000000,0.000000
633nm,0.036219,0.008324,0.026255,0.014270,0.001730,0.000000,0.000000,0.000000,0.000000,0.000000
634nm,0.038649,0.013564,0.029706,0.017258,0.006359,0.000000,0.000000,0.000000,0.000000,0.000000
635nm,0.039903,0.018739,0.031991,0.020011,0.009354,0.000000,0.000000,0.000000,0.000000,0.000000
636nm,0.039208,0.020410,0.031164,0.020807,0.009982,0.000000,0.000000,0.000000,0.000000,0.000000
637nm,0.030594,0.014998,0.021185,0.015712,0.005639,0.000000,0.000000,0.000000,0.000000,0.000000
638nm,0.021478,0.010424,0.014859,0.010625,0.002634,0.000000,0.000000,0.000000,0.000000,0.000000
639nm,0.015582,0.005163,0.006916,0.004497,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000
640nm,0.014252,0.003267,0.004167,0.002686,0.000156,0.000000,0.000000,0.000000,0.000000,0.000000
641nm,0.011706,0.001382,0.003627,0.000384,0.000134,0.000000,0.000000,0.000000,0.000000,0.000000
642nm,0.012284,0.002092,0.006424,0.000193,0.000365,0.000000,0.000000,0.000000,0.000000,0.000000
643nm,0.009058,0.002319,0.007923,0.001224,0.000397,0.000000,0.000000,0.000000,0.000000,0.000000
644nm,0.014012,0.004135,0.010128,0.005013,0.000398,0.000000,0.000000,0.000000,0.000000,0.000000
645nm,0.014554,0.006949,0.008135,0.007301,0.000300,0.000000,0.000000,0.000000,0.000000,0.000000
646nm,0.018430,0.012100,0.009138,0.008827,0.000219,0.000000,0.000000,0.000000,0.000000,0.000000
647nm,0.023393,0.019221,0.011109,0.012158,0.004637,0.000000,0.000000,0.000000,0.000000,0.000000
648nm,0.025054,0.021427,0.012059,0.012635,0.005910,0.000000,0.000000,0.000000,0.000000,0.000000
649nm,0.028483,0.020130,0.013086,0.013582,0.006893,0.000000,0.000000,0.000000,0.000000,0.000000
650nm,0.021173,0.013691,0.009106,0.010583,0.004870,0.000000,0.000000,0.000000,0.000000,0.000000
651nm,0.011648,0.006291,0.004452,0.003851,0.001220,0.000000,0.000000,0.000000,0.000000,0.000000
652nm,0.004373,0.001737,0.001718,0.001361,0.000522,0.000000,0.000000,0.000000,0.000000,0.000000
653nm,0.007095,0.001851,0.005227,0.003510,0.001324,0.000000,0.000000,0.000000,0.000000,0.000000
654nm,0.015587,0.007025,0.011375,0.011950,0.003420,0.000000,0.000000,0.000000,0.000000,0.000000
655nm,0.019784,0.008196,0.014828,0.014223,0.004573,0.000000,0.000000,0.000000,0.000000,0.000000
656nm,0.019257,0.008267,0.014706,0.014193,0.004616,0.000000,0.000000,0.000000,0.000000,0.000000
657nm,0.018362,0.009169,0.012030,0.010202,0.006532,0.000000,0.000000,0.000000,0.000000,0.000000
658nm,0.015092,0.007773,0.009257,0.006549,0.005450,0.000000,0.000000,0.000000,0.000000,0.000000
659nm,0.014255,0.007831,0.007703,0.006477,0.005303,0.000000,0.000000,0.000000,0.000000,0.000000
660nm,0.008290,0.004635,0.004349,0.003935,0.002597,0.000000,0.000000,0.000000,0.000000,0.000000
661nm,0.005306,0.001971,0.001969,0.002269,0.000294,0.000000,0.000000,0.000000,0.000000,0.000000
662nm,0.006886,0.004642,0.004396,0.005455,0.000296,0.000000,0.000000,0.000000,0.000000,0.000000
663nm,0.007554,0.006136,0.005614,0.006489,0.000298,0.000000,0.000000,0.000000,0.000000,0.000000
664nm,0.006017,0.005906,0.005237,0.005903,0.000150,0.000000,0.000000,0.000000,0.000000,0.000000
665nm,0.001762,0.003015,0.003199,0.002827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
666nm,0.000519,0.000793,0.000441,0.000246,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
667nm,0.000614,0.000467,0.000069,0.001839,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000
668nm,0.000882,0.000626,0.000093,0.002331,0.000043,0.000000,0.000000,0.000000,0.000000,0.000000
669nm,0.001590,0.000960,0.000332,0.002434,0.000113,0.000000,0.000000,0.000000,0.000000,0.000000
670nm,0.002974,0.001218,0.000375,0.002058,0.000385,0.000000,0.000000,0.000000,0.000000,0.000000
671nm,0.002365,0.000748,0.000307,0.000488,0.000355,0.000000,0.000000,0.000000,0.000000,0.000000
672nm,0.002046,0.000620,0.000189,0.000492,0.000357,0.000000,0.000000,0.000000,0.000000,0.000000
673nm,0.000577,0.000328,0.000000,0.000131,0.000090,0.000000,0.000000,0.000000,0.000000,0.000000
674nm,0.000431,0.001099,0.000048,0.000410,0.000261,0.000000,0.000000,0.000000,0.000000,0.000000
675nm,0.001457,0.002371,0.000745,0.001325,0.001266,0.000000,0.000000,0.000000,0.000000,0.000000
676nm,0.002401,0.002469,0.001375,0.001446,0.001662,0.000000,0.000000,0.000000,0.000000,0.000000
677nm,0.002164,0.002062,0.001382,0.001453,0.001670,0.000000,0.000000,0.000000,0.000000,0.000000
678nm,0.003437,0.002021,0.001604,0.001263,0.001750,0.000000,0.000000,0.000000,0.000000,0.000000
679nm,0.003376,0.003141,0.001012,0.001812,0.001763,0.000000,0.000000,0.000000,0.000000,0.000000
680nm,0.003584,0.003157,0.001017,0.001857,0.001772,0.000000,0.000000,0.000000,0.000000,0.000000
681nm,0.005272,0.006177,0.002855,0.005490,0.002239,0.000000,0.000000,0.000000,0.000000,0.000000
682nm,0.002919,0.004742,0.002523,0.004707,0.000829,0.000000,0.000000,0.000000,0.000000,0.000000
683nm,0.002999,0.004991,0.002661,0.004794,0.000898,0.000000,0.000000,0.000000,0.000000,0.000000
684nm,0.001926,0.003839,0.001625,0.002749,0.000590,0.000000,0.000000,0.000000,0.000000,0.000000
685nm,0.000439,0.002149,0.000390,0.000412,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000
686nm,0.002958,0.003850,0.001030,0.001594,0.001805,0.000000,0.000000,0.000000,0.000000,0.000000
687nm,0.004195,0.005287,0.001766,0.002627,0.003387,0.000000,0.000000,0.000000,0.000000,0.000000
688nm,0.004214,0.004153,0.001774,0.002488,0.003403,0.000000,0.000000,0.000000,0.000000,0.000000
689nm,0.003719,0.003631,0.001628,0.002259,0.003246,0.000000,0.000000,0.000000,0.000000,0.000000
690nm,0.000224,0.000158,0.000703,0.000957,0.000463,0.000000,0.000000,0.000000,0.000000,0.000000
691nm,0.000226,0.000146,0.000707,0.000969,0.000440,0.000000,0.000000,0.000000,0.000000,0.000000
692nm,0.000227,0.000147,0.000710,0.000974,0.000442,0.000000,0.000000,0.000000,0.000000,0.000000
693nm,0.000093,0.000108,0.000857,0.000399,0.000248,0.000000,0.000000,0.000000,0.000000,0.000000
694nm,0.013380,0.008752,0.009129,0.006100,0.007136,0.000000,0.000000,0.000000,0.000000,0.000000
695nm,0.047673,0.034458,0.036748,0.026889,0.028054,0.000000,0.000000,0.000000,0.000000,0.000000
696nm,0.056532,0.039310,0.046043,0.029386,0.029766,0.000000,0.000000,0.000000,0.000000,0.000000
697nm,0.055402,0.039505,0.045977,0.029516,0.029722,0.000000,0.000000,0.000000,0.000000,0.000000
698nm,0.024431,0.016194,0.023016,0.011003,0.009624,0.000000,0.000000,0.000000,0.000000,0.000000
699nm,0.002419,0.002074,0.003351,0.000389,0.000874,0.000000,0.000000,0.000000,0.000000,0.000000
700nm,0.000397,0.000808,0.000539,0.000660,0.001780,0.000000,0.000000,0.000000,0.000000,0.000000
701nm,0.000400,0.000815,0.000543,0.000665,0.001794,0.000000,0.000000,0.000000,0.000000,0.000000
702nm,0.000234,0.000702,0.000509,0.000628,0.001636,0.000000,0.000000,0.000000,0.000000,0.000000
703nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
704nm,0.000000,0.000000,0.000403,0.000000,0.000428,0.000000,0.000000,0.000000,0.000000,0.000000
705nm,0.002792,0.001429,0.001579,0.001581,0.002102,0.000000,0.000000,0.000000,0.000000,0.000000
706nm,0.004838,0.002170,0.002251,0.002354,0.003012,0.000000,0.000000,0.000000,0.000000,0.000000
707nm,0.010025,0.006284,0.003431,0.003465,0.004653,0.000000,0.000000,0.000000,0.000000,0.000000
708nm,0.009512,0.006102,0.002958,0.003077,0.004096,0.000000,0.000000,0.000000,0.000000,0.000000
709nm,0.005856,0.004508,0.001558,0.001113,0.001967,0.000000,0.000000,0.000000,0.000000,0.000000
710nm,0.001991,0.001901,0.000527,0.000450,0.000754,0.000000,0.000000,0.000000,0.000000,0.000000
711nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
712nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
713nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
714nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
715nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
716nm,0.000000,0.000177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
717nm,0.000000,0.000447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
718nm,0.000000,0.000451,0.000000,0.000000,0.000543,0.000000,0.000000,0.000000,0.000000,0.000000
719nm,0.000000,0.000456,0.000000,0.000000,0.000549,0.000000,0.000000,0.000000,0.000000,0.000000
720nm,0.000000,0.000000,0.000000,0.000000,0.000555,0.000000,0.000000,0.000000,0.000000,0.000000
721nm,0.000000,0.000000,0.000000,0.000000,0.000280,0.000000,0.000000,0.000000,0.000000,0.000000
722nm,0.000000,0.000349,0.000000,0.000258,0.000363,0.000000,0.000000,0.000000,0.000000,0.000000
723nm,0.000000,0.000588,0.000000,0.000326,0.000458,0.000000,0.000000,0.000000,0.000000,0.000000
724nm,0.000000,0.000594,0.000000,0.000329,0.000463,0.000000,0.000000,0.000000,0.000000,0.000000
725nm,0.000000,0.000480,0.001048,0.000447,0.000281,0.000000,0.000000,0.000000,0.000000,0.000000
726nm,0.000000,0.000000,0.001158,0.000323,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
727nm,0.000000,0.000000,0.001169,0.000326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
728nm,0.000000,0.000000,0.000573,0.000207,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
729nm,0.000000,0.000000,0.000000,0.000000,0.000050,0.000000,0.000000,0.000000,0.000000,0.000000
730nm,0.000000,0.000000,0.000000,0.000000,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000
731nm,0.000000,0.000000,0.000000,0.000000,0.000069,0.000000,0.000000,0.000000,0.000000,0.000000
732nm,0.000000,0.000044,0.000000,0.000000,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000
733nm,0.000000,0.000088,0.000000,0.000000,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000
734nm,0.000000,0.000089,0.000000,0.000000,0.000071,0.000000,0.000000,0.000000,0.000000,0.000000
735nm,0.000000,0.000090,0.000000,0.000000,0.000072,0.000000,0.000000,0.000000,0.000000,0.000000
736nm,0.000000,0.000000,0.000000,0.000000,0.000072,0.000000,0.000000,0.000000,0.000000,0.000000
737nm,0.000000,0.000000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000
738nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
739nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
740nm,0.000000,0.000000,0.000000,0.000000,0.000221,0.000000,0.000000,0.000000,0.000000,0.000000
741nm,0.000000,0.000000,0.000000,0.000000,0.000556,0.000000,0.000000,0.000000,0.000000,0.000000
742nm,0.000000,0.000000,0.000000,0.000000,0.000561,0.000000,0.000000,0.000000,0.000000,0.000000
743nm,0.000000,0.000000,0.000000,0.000000,0.000565,0.000000,0.000000,0.000000,0.000000,0.000000
744nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
745nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
746nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
747nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
748nm,0.000000,0.000785,0.000172,0.000050,0.000166,0.000000,0.000000,0.000000,0.000000,0.000000
749nm,0.000000,0.005113,0.000692,0.000203,0.000849,0.000000,0.000000,0.000000,0.000000,0.000000
750nm,0.000000,0.005719,0.000697,0.000205,0.000978,0.000000,0.000000,0.000000,0.000000,0.000000
751nm,0.000000,0.005768,0.000703,0.000207,0.000986,0.000000,0.000000,0.000000,0.000000,0.000000
752nm,0.000000,0.002223,0.000142,0.000042,0.000386,0.000000,0.000000,0.000000,0.000000,0.000000
753nm,0.000000,0.000046,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000
754nm,0.000187,0.002460,0.000371,0.002756,0.003815,0.000000,0.000000,0.000000,0.000000,0.000000
755nm,0.000252,0.003554,0.000500,0.003533,0.005312,0.000000,0.000000,0.000000,0.000000,0.000000
756nm,0.000254,0.003588,0.000504,0.003567,0.005360,0.000000,0.000000,0.000000,0.000000,0.000000
757nm,0.000193,0.002904,0.000382,0.002568,0.004194,0.000000,0.000000,0.000000,0.000000,0.000000
758nm,0.000000,0.001405,0.000000,0.000037,0.000263,0.000000,0.000000,0.000000,0.000000,0.000000
759nm,0.000000,0.001842,0.000000,0.000063,0.000333,0.000000,0.000000,0.000000,0.000000,0.000000
760nm,0.000000,0.001862,0.000000,0.000063,0.000336,0.000000,0.000000,0.000000,0.000000,0.000000
761nm,0.000000,0.001344,0.000000,0.000051,0.000740,0.000000,0.000000,0.000000,0.000000,0.000000
762nm,0.000000,0.000201,0.000000,0.000000,0.000678,0.000000,0.000000,0.000000,0.000000,0.000000
763nm,0.000000,0.000862,0.000000,0.000000,0.000878,0.000000,0.000000,0.000000,0.000000,0.000000
764nm,0.000000,0.004417,0.000000,0.000000,0.001719,0.000000,0.000000,0.000000,0.000000,0.000000
765nm,0.000000,0.004358,0.000000,0.000000,0.001322,0.000000,0.000000,0.000000,0.000000,0.000000
766nm,0.000000,0.004411,0.000000,0.000000,0.001338,0.000000,0.000000,0.000000,0.000000,0.000000
767nm,0.000000,0.001230,0.000000,0.000000,0.000379,0.000000,0.000000,0.000000,0.000000,0.000000
768nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
769nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
770nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
771nm,0.010221,0.011778,0.012475,0.012475,0.012835,0.000989,0.000000,0.000000,0.000009,0.000000
772nm,0.038262,0.048956,0.051956,0.046256,0.052525,0.003947,0.000000,0.000000,0.000036,0.000000
773nm,0.038198,0.049613,0.052484,0.046263,0.053261,0.003940,0.000000,0.000000,0.000036,0.000000
774nm,0.038212,0.049632,0.052504,0.046281,0.053281,0.003941,0.000000,0.000000,0.000036,0.000000
775nm,0.007172,0.011257,0.011727,0.008695,0.011961,0.000792,0.000000,0.000000,0.000007,0.000000
776nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
777nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
778nm,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
779nm,0.000000,0.001057,0.000270,0.000000,0.001033,0.000000,0.000000,0.000000,0.000000,0.000000
780nm,0.000000,0.002889,0.001176,0.000066,0.002809,0.000000,0.000000,0.000000,0.000000,0.000000
